,Заказ,Сообщение,МВЗ,Описание,Номер адреса,Дата изменения,Время изменения,ОснСредство,Субномер,СостПослеМеропр,СостПрУсПслНеис,СостПрУсДоНеисп,Отв. раб.место,Завод РабМесто,Вид приоритета,Воздействие,Монтажный узел,Название узла,ПроизвУчасток,СоответЕдОборуд,Ссылочная дата,Ссылочное время,Ссыл. дата кл.,Ссылка клиента,СоотвТехМесто,БЕ,Город,Район,Страна,ДатаТехКонтроля,ДанныеУстройств,Поле сортировки,Время создания,Бизнес-сфера,Вид работы ТОРО,Мстплж/Контир,Подробный текст,ГрупПлановик,ТехКонтроль,Планир. завод,ТоргДокумент,Позиция,КЕ,Текст кода код.,ТекстГруппКодов,Клиент,Название,Материал,Единица,Помещение,Время сообщения,Имя списка,Номер объекта,СтатСтранОбмена,ОбозначИсполнит,ОбозначИсполнит.1,Исполнитель,Исполнитель.1,Описание.1,Почтовый индекс,Приоритет,Приоритет.1,Кодирование,Дата закрытия,Дата сообщ.,ГрупКодов,Автор сообщения,Время закрытия,Каталог/КодТОРО,Регион,Ревизия,Серийный номер,Сектор,Местоположение,Улица,ЗаводРасплТехОб,Телефон,Завод РабМеста,Заказ клиента,ДоступПслМеропр,ДоступнПслНеисп,ДоступнДоНеиспр,Отдел сбыта,Группа сбыта,СбытовОрганизац,Канал сбыта,Валюта,ПозПредупрТОРО,ПланПредупрТОРО,Полном. на изм.,Логич. система,Лог. система,ИндНаличПрикрДокум,БазисОкнч Заказ ТОРО,БазисНач Заказ ТОРО,КраткТекст ЗаказТОРО,Название модели,Модель,Дата приемки в экспл,Дата окончания выпол,Время окончания выпо,Отклонение окончания,Класс ЕО,Наименов класса ЕО,Продолжительность пр,Счетчик группы ТК,Группа ТК,Тип ТК,Код части объекта,КодКартиныПоврежд,ГрпКодовЧастейОбъект,ГрпКодовКартПовреж,Часть объекта,Картина повреждения,НазвГрупПричОтказ,НазвГрупЧастОбъект,НазвГрупКартПовр,Код причины отказа,ГрпКодовПричОтказа,Подроб. текст (комм),Время приемки в эксп,ID пересек. сообщен.,Отклонение окончания.1,Дата пуска MES,Время пуска MES,СистСтатус ЗаказТОРО,ПолзСтатус ЗаказТОРО,Вид заказа TOPO,Причина отказа,Корневое ТМ,Название корневого,Описание.2,ПользовСтатус,ПродолжПростоя,Отказ,Вид сообщения,Нач. неисправн.,Нач.неиспр.(вр),Конец неисправ.,Оконч. неиспр.,СистемнСтатус,Создал,Автор изменения,Дата создания,Требуем. начало,ТребВремяНачала,ТребуемЗавершен,ТребВремяОконч,Ед. оборудов.,Техместо
1239,1100375651.0,7100376861,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-14,07:14:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-14,07:14:16,,,,1100,,,,,,22,06:04:00,,ТО1,1557494,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:02:56,,QM007100376861,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-05-01,2022-04-30,Техническое обслуживание 1,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О1,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,СГГС ГИП  ГОД  МТРЦ СРОЧ ТКБЕ УТВП,APP1,,,,Техническое обслуживание 1,,0.0,,A1,2021-08-29,07:35:03,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-04-30,09:00:00,2022-05-01,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
1240,1100375653.0,7100376863,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-14,07:14:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-14,07:14:16,,,,1100,,,,,,22,06:04:04,,ТО1,1557498,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:03:23,,QM007100376863,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-06-11,2022-06-10,Техническое обслуживание 1,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О1,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,ПЛАН ГИП  ГОД  МТРЦ ТКБЕ УТВП,APP1,,,,Техническое обслуживание 1,,0.0,,A1,2021-08-29,07:35:16,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-06-10,09:00:00,2022-06-11,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
1241,1100375654.0,7100376864,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,06:17:37,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,06:17:37,,,,1100,,,,,,22,06:04:07,,ТО1,1557500,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:03:25,,QM007100376864,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-06-26,2022-06-25,Техническое обслуживание 1,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О1,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,ПЛАН ГИП  ГОД  МТРЦ ТКБЕ УТВП,APP1,,,,Техническое обслуживание 1,,0.0,,A1,2022-01-15,10:17:27,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-06-25,09:00:00,2022-06-26,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
1242,1100375655.0,7100376865,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,06:24:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,06:24:16,,,,1100,,,,,,22,06:04:09,,ТО1,1557502,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:03:27,,QM007100376865,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-12-08,2022-12-08,Техническое обслуживание 1,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О1,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,ПЛАН ГИП  ГОД  МТРЦ ТКБЕ УТВП,APP1,,,,Техническое обслуживание 1,,0.0,,A1,2022-01-15,10:16:52,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-12-08,09:00:00,2022-12-08,09:00:36,100000061735.0,11-RUD-BLAG-UGBL-E101
1243,1100375662.0,7100376872,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,06:24:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,06:24:16,,,,1100,,,,,,22,06:04:34,,ЗМН,1557520,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:04:34,,QM007100376872,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-12-06,2022-12-06,Ремонт ковша,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,ЗУ,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,ПЛАН ГИП  ГОД  МТРЦ ТКБЕ УТВП,APP1,,,,Замена футеровка,,0.0,,A1,2021-07-27,14:55:56,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-12-06,09:00:00,2022-12-06,09:00:36,100000061735.0,11-RUD-BLAG-UGBL-E101
1244,1100375661.0,7100376871,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,06:24:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,06:24:16,,,,1100,,,,,,22,06:04:24,,ТО3,1557516,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:03:45,,QM007100376871,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-12-08,2022-12-08,Техническое обслуживание 3,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О3,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР KKMP ДМНП ПКАЛ,ПЛАН ГИП  ГОД,APP1,,,,Техническое обслуживание 3,,0.0,,A1,2021-03-12,10:16:20,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-12-08,00:00:00,2022-12-08,00:00:36,100000061735.0,11-RUD-BLAG-UGBL-E101
1245,1100375660.0,7100376870,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-14,07:14:17,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-14,07:14:17,,,,1100,,,,,,22,06:04:22,,ТО3,1557513,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:03:42,,QM007100376870,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-05-17,2022-05-13,Техническое обслуживание 3,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О3,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,ПЛАН ГИП  ГОД  МТРЦ СРОЧ,APP1,,,,Техническое обслуживание 3,,0.0,,A1,2021-12-27,14:11:44,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-05-13,09:00:00,2022-05-17,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
1246,1100375659.0,7100376869,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,06:26:39,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,06:26:39,,,,1100,,,,,,22,06:04:19,,ТО2,1557511,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:03:39,,QM007100376869,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-12-29,2022-12-29,Техническое обслуживание 2,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О2,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР KKMP ДМНП ПКАЛ,СГГС ГИП  ГОД,APP1,,,,Техническое обслуживание 2,,0.0,,A1,2021-04-08,15:09:18,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-12-29,09:00:00,2022-12-29,09:00:36,100000061735.0,11-RUD-BLAG-UGBL-E101
1247,1100375658.0,7100376868,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-14,07:14:16,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-14,07:14:16,,,,1100,,,,,,22,06:04:17,,ТО2,1557508,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:03:37,,QM007100376868,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-02-21,2022-02-17,Техническое обслуживание 2,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О2,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,СГГС ГИП  ГОД  МТРЦ СРОЧ ТКБЕ УТВП,APP1,,,,Техническое обслуживание 2,,0.0,,A1,2021-08-29,07:35:29,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-02-17,09:00:00,2022-02-21,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
1248,1100375657.0,7100376867,1112011420,Экскаватор электрический ЭКГ-10 №22,,2022-01-15,05:58:36,101060003606.0,0.0,,,,C-OGM,1100,PL,,,,,,2022-01-15,05:58:36,,,,1100,,,,,,22,06:04:14,,ТО1,1557506,,100.0,,1100,,0,1000,,,,,,Ч,448.0,10:03:34,,QM007100376867,,,,,,Экскаватор электрический №22,,,,,,2021-03-10,,,00:00:00,E0302000,,,,,,,1105,,1100,,0,0,0,,,,,,,,,,,,2022-07-17,2022-07-16,Техническое обслуживание 1,ЭКГ-10_E03_02,960000020.0,,,00:00:00,0,E03_02,Экскаваторы электрические,0,О1,A0000020,A,,,,,,,,,,,,,00:00:00,,0.0,,00:00:00,ОТКР ДМНП ПКАЛ,ПЛАН ГИП  ГОД  МТРЦ ТКБЕ УТВП,APP1,,,,Техническое обслуживание 1,,0.0,,A1,2022-01-14,11:13:09,,00:00:00,ЗКПР СОРА,ZYATIKOVMN,NIKOLAEVIV,2021-03-10,2022-07-16,09:00:00,2022-07-17,09:00:00,100000061735.0,11-RUD-BLAG-UGBL-E101
